Song,,Constant,Level,Note Count,Difficulty,Song ID,Notes
Silver Collector,シルバーコレクター,32.1,32,1178,Master,496,
Showtime Ruler,ショウタイム・ルーラー,32.1,APD 31,1163,Append,160,
snooze,snooze,32.0,32,1142,Master,554,
Kaiju ni Naritai,怪獣になりたい,32.0,32,1600,Expert,671,
hot wind,熱風,32.0,APD 31,1207,Append,489,
Colorful Marine Snow,君色マリンスノウ,31.9,31+,1415,Master,206,
EGOIST,エゴイスト,31.9,31+,1548,Master,299,
Fräulein=библиотека,フロイライン＝ビブリォチカ,31.9,31+,1456,Master,251,
junky nighttown orchestra,ジャンキーナイトタウンオーケストラ,31.9,31+,1374,Master,84,
SHOW OFF,てらてら,31.9,APD 31,1450,Append,257,
Stella,ステラ,31.9,APD 31,1553,Append,64,
Alter Ego,オルターエゴ,31.8,31+,1557,Master,167,
BAKENOHANA,化けの花,31.8,31+,1003,Master,549,
Chikyuu Saigo no Kokuhaku wo,地球最後の告白を,31.8,31+,1164,Master,154,
Ego rock,エゴロック,31.8,31+,1277,Master,225,
Greenlights Serenade,グリーンライツ・セレナーデ,31.8,31+,1174,Master,46,
Kagerou Daze,カゲロウデイズ,31.8,31+,1404,Master,171,
Law-evading Rock,脱法ロック,31.8,31+,1145,Master,21,
ONLINE GAME ADDICTS SPRECHCHOR,ネトゲ廃人シュプレヒコール,31.8,31+,1463,Master,298,
Positive☆Dance Time,ポジティブ☆ダンスタイム,31.8,31+,1154,Master,122,
Rule Book,ルルブ,31.8,31+,1296,Master,587,
Tokugawa Cupnoodle Prohibition,徳川カップヌードル禁止令,31.8,31+,1241,Master,234,
Zunda Party Night,ずんだパーリナイ,31.8,31+,1522,Master,379,
MACHINEGUN POEM DOLL,マシンガンポエムドール,31.8,31+,1730,Expert,176,
YAMINABE!!!!!,ヤミナベ!!!!,31.8,31+,1539,Expert,329,
Gehenna,ジェヘナ,31.8,APD 31,1633,Append,272,
KLY,一千光年,31.8,APD 31,1496,Append,439,
Senbonzakura,千本桜,31.8,APD 31,1230,Append,110,
Chururira Chururira Daddadda!,チュルリラ・チュルリラ・ダッダッダ！,31.7,31+,1401,Master,88,
Cirno's Perfect Math Academy,チルノのパーフェクトさんすう学園,31.7,31+,1199,Master,624,
Denkoh Sekka,電光刹歌,31.7,31+,1472,Master,685,
Mesmerizer,メズマライザー,31.7,31+,1451,Master,531,
Mr. Showtime,Mr. Showtime,31.7,31+,1497,Master,333,
My love is Hellfire,私の恋はヘルファイア,31.7,31+,1638,Master,301,
syndrome,心泥夢(syndrome),31.7,31+,1383,Master,444,
Tokyo Teddy Bear,東京テディベア,31.7,31+,1449,Master,396,
Touhou☆Wonderland,とうほう☆ワンダーランド,31.7,31+,1086,Master,623,
TRASH and TRASH!,トラッシュ・アンド・トラッシュ！,31.7,31+,1181,Master,335,
Your Adventure Log Has Vanished!,ぼうけんのしょがきえました！,31.7,31+,1092,Master,78,
End Mark ni Kibou to Namida wo soete,エンドマークに希望と涙を添えて,31.7,31+,1553,Expert,162,
Masquerade,Masquerade,31.7,APD 31,1282,Append,746,
D/N/A,D/N/A,31.6,31+,1276,Master,596,
Genten,げんてん,31.6,31+,1138,Master,669,
Happy Halloween,Happy Halloween,31.6,31+,987,Master,172,
Hikyou Sentai Urotander,卑怯戦隊うろたんだー,31.6,31+,1148,Master,661,
I know I know.,I know 愛脳,31.6,31+,1119,Master,504,
imaginary love story,imaginary love story,31.6,31+,1214,Master,420,
Kimagure Mercy,気まぐれメルシィ,31.6,31+,1465,Master,281,
Life Will Change,Life Will Change,31.6,31+,1118,Master,648,
Queen of Hearts,クイーンオブハート,31.6,31+,1212,Master,592,
SEIBAIITAAAAASU!,成敗いたAAAAAす！,31.6,31+,1199,Master,472,
Showtime Ruler,ショウタイム・ルーラー,31.6,31+,1063,Master,160,
The Gardener's Story,庭師のおはなしによると,31.6,31+,1185,Master,633,
The peachy key,ももいろの鍵,31.6,31+,1187,Master,308,
ARE YOU OK?,ダイジョブですか？,31.6,31+,1495,Expert,487,
Bad Apple!! feat.SEKAI,Bad Apple!! feat.SEKAI,31.6,APD 31,1328,Append,501,
Pentatonic,ペンタトニック,31.6,APD 31,1288,Append,585,
Tonal Twinkle Tetrad,世界を照らすテトラッド,31.6,APD 30,1210,Append,411,
Viva Happy,ビバハピ,31.6,APD 31,884,Append,11,
Brain Revolution Girl,脳内革命ガール,31.5,31,1269,Master,344,
Fräulein=Ojousama,フロイライン＝オジョウサマ,31.5,31,1234,Master,714,
HERO,HERO,31.5,31,1278,Master,414,
I am you,Iなんです,31.5,31,1066,Master,304,
Liar Dancer,ライアーダンサー,31.5,31,1224,Master,509,
Medicine,イガク,31.5,31,1226,Master,515,
Music Like Magic!,魔法みたいなミュージック！,31.5,31,1271,Master,317,
OKOCHAMA SENSO,おこちゃま戦争,31.5,31,1394,Master,307,
Play-With-Fire,ヒアソビ,31.5,31,1116,Master,433,
Poppin' Candy☆Fever!,ポッピンキャンディ☆フィーバー！,31.5,31,1323,Master,494,
Rollin Girl,ローリンガール,31.5,31,1396,Master,113,
Unhappy Refrain,アンハッピーリフレイン,31.5,31,1353,Master,288,
Vampire's ∞ pathoS,Vampire's ∞ pathoS,31.5,31,1100,Master,334,
Wanderlast,ワンダーラスト,31.5,31,1577,Master,711,
JINSEI [Our Life],人生,31.5,31,1441,Expert,370,
the EmpErroR,the EmpErroR,31.5,31,1223,Expert,163,
Totemoitai Itagaritai,とても痛い痛がりたい,31.5,APD 30,1226,Append,94,
99 Glooms,99 Glooms,31.4,31,1347,Master,749,
Ángel,アンヘル,31.4,31,1187,Master,562,
Angel's Clover,天使のクローバー,31.4,31,1235,Master,112,
Devil's Manner,悪魔の踊り方,31.4,31,938,Master,133,
Gehenna,ジェヘナ,31.4,31,1253,Master,272,
I Maker!,アイ・メイカー！,31.4,31,1255,Master,741,
Incomplete Anthem,未完成讃歌,31.4,31,1585,Master,254,
Lower one's eyes,ロウワー,31.4,31,850,Master,187,
Nyanyanyanyanyanyanya!,Nyanyanyanyanyanyanya!,31.4,31,1188,Master,713,
Override,オーバーライド,31.4,31,1265,Master,521,
Rocket Cider,ロケットサイダー,31.4,31,1350,Master,665,
shinjinrui,新人類,31.4,31,1298,Master,381,
Soudatta!!,そうだった！！,31.4,31,1297,Master,165,
Teenager's Heartbeat,十六歳の心臓,31.4,31,1470,Master,468,
Theme of Niccori Survey Team,にっこり^^調査隊のテーマ,31.4,31,1195,Master,178,
Tokimeki Jet Coaster,ときめきジェットコースター,31.4,31,1234,Master,428,
We are Different !!! (or Same),ちがう!!!,31.4,31,1074,Master,475,
Hatsune Kyousoukyoku Dai 01-ban 「Suisei」,初音狂奏曲第01番「彗惺」,31.4,31,1581,Expert,755,
Ogyarinizer,おぎゃりないざー,31.4,31,1387,Expert,486,
What's up? Pop!,What's up? Pop!,31.4,31,1804,Expert,315,
Flyway,Flyway,31.4,APD 30,1396,Append,310,
Kugutsu no Utsutsu,傀儡のうつつ,31.4,APD 30,892,Append,735,
All I Need are Things I Like,すきなことだけでいいです,31.3,31,1223,Master,367,
Awaiting Clear Skies,霽れを待つ,31.3,31,1106,Master,97,
Butterfly on Your Right Shoulder,右肩の蝶,31.3,31,1315,Master,177,
Cosmospice,コスモスパイス,31.3,31,1092,Master,233,
limbo,limbo,31.3,31,958,Master,416,
Mahou Shoujo Koufukuron,魔法少女幸福論,31.3,31,1115,Master,715,
Non-breath oblige,ノンブレス・オブリージュ,31.3,31,1203,Master,268,
Suicide Parade,スーサイドパレヱド,31.3,31,1063,Master,606,
Tonal Twinkle Tetrad,世界を照らすテトラッド,31.3,31,1072,Master,411,
Violence Trigger,バイオレンストリガー,31.3,31,1421,Master,703,
Yankee Boy Yankee Girl,ヤンキーボーイ・ヤンキーガール,31.3,31,1087,Master,586,
Lower one's eyes,ロウワー,31.3,APD 30,1045,Append,187,
Regulus,レグルス,31.3,APD 30,1268,Append,423,
Close to gray,限りなく灰色へ,31.2,31,849,Master,90,
KILLER,キラー,31.2,31,1013,Master,474,
kitty,キティ,31.2,31,982,Master,353,
MORE! JUMP! MORE!,モア！ジャンプ！モア！,31.2,31,1257,Master,99,
Parry,パリィ,31.2,31,1024,Master,553,
SAI LOVE JINSEI RUNNER,最愛人生ランナー,31.2,31,1217,Master,689,
JOUOU,嬢王,31.2,31,1266,Expert,465,
Nekuratune Circus,ネクラチューンサーカス,31.2,31,1380,Expert,668,
The Bubble Future,泡沫未来,31.2,APD 30,1070,Append,151,
Abelia,アベリア,31.1,31,1238,Master,677,
Accelerate,アクセラレイト,31.1,31,917,Master,583,
ARQETYPE,ARQETYPE,31.1,31,951,Master,406,
Identity,アイデンティティ,31.1,31,1489,Master,231,
Kuronuri Sekai ate Shokan,黒塗り世界宛て書簡,31.1,31,1201,Master,704,
Kyu-kurarin,きゅうくらりん,31.1,31,1148,Master,361,
Polar Star,Polar Star,31.1,31,1106,Master,610,
Pulse of the Meteor,流星のパルス,31.1,31,1123,Master,173,
0.0000034,0.0000034,31.1,31,1634,Expert,691,
Hollow,虚ろを扇ぐ,31.1,APD 30,1233,Append,280,
Blackjack,Blackjack,31.0,31,1021,Master,542,
Memoria,メモリア,31.0,31,1637,Expert,488,
As You Like It,お気に召すまま,31.0,APD 30,1003,Append,106,
BRING IT ON,劣等上等,31.0,APD 30,939,Append,26,
MORE! JUMP! MORE!,モア！ジャンプ！モア！,31.0,APD 30,1518,Append,99,
Hurray,フレー,30.9,30+,1328,Master,302,
Opera! Space Opera!,オペラ！スペースオペラ！,30.9,30+,1198,Master,450,
Parasol Cider,パラソルサイダー,30.9,30+,880,Master,264,
Salamander,サラマンダー,30.9,30+,1454,Master,230,
Aoku Kakero!,青く駆けろ！,30.9,APD 30,1446,Append,93,
Dramaturgy,ドラマツルギー,30.9,APD 30,931,Append,91,
WAVE,WAVE,30.9,APD 30,1029,Append,522,
Blue Planet,ブループラネット,30.8,30+,1357,Master,357,
BRING IT ON,劣等上等,30.8,30+,952,Master,26,
Disco No.39,Disco No.39,30.8,30+,1115,Master,399,
Goodbye Declaration,グッバイ宣言,30.8,30+,1259,Master,198,
Sick of House!,しっくおぶはうす！,30.8,30+,1313,Master,185,
World Lampshade[reunion],ワールド・ランプシェード [reunion],30.8,30+,1155,Master,534,
World's End Dancehall,ワールズエンド・ダンスホール,30.8,30+,1044,Master,119,
Yobanashi Deceive,夜咄ディセイブ,30.8,30+,1311,Master,81,
Empurple,エンパープル,30.8,APD 30,1126,Append,507,
Samsa,ザムザ,30.8,APD 30,1105,Append,300,
Uka,羽歌,30.8,APD 30,944,Append,740,
BURIKI NO DANCE,ブリキノダンス,30.7,30+,967,Master,38,
Composing the Future,悔やむと書いてミライ,30.7,30+,973,Master,60,
HAVEN,ヘイヴン,30.7,30+,977,Master,508,
Milk Crown on Sonechka,ミルククラウン・オン・ソーネチカ,30.7,30+,1226,Master,107,
NEXT NEST,ネクストネスト,30.7,30+,1131,Master,43,
Singing of a flower,花を唄う,30.7,30+,878,Master,137,
STAGE OF SEKAI,STAGE OF SEKAI,30.7,30+,1156,Master,159,
the WALL,the WALL,30.7,30+,1019,Master,259,
The Intense Voice of Hatsune Miku,初音ミクの激唱,30.7,30+,1520,Expert,131,
Flyer!,Flyer!,30.7,APD 30,1189,Append,182,
Integral,インテグラル,30.7,APD 29,1357,Append,424,
Wah Wah World,ワーワーワールド,30.7,APD 29,1170,Append,77,
Eternal Aria,エターナルアリア,30.6,30+,1364,Master,364,
Glory Steady Go!,Glory Steady Go!,30.6,30+,875,Master,166,
Lavie,ラヴィ,30.6,30+,1281,Master,723,
magic number,magic number,30.6,30+,988,Master,161,
Miracle Paint,ミラクルペイント,30.6,30+,1437,Master,36,
ONESELF,ONESELF,30.6,30+,1163,Master,227,
Shama,紗痲,30.6,30+,1192,Master,620,
SHANTI,シャンティ,30.6,30+,1187,Master,276,
Shoujo A,少女A,30.6,30+,1312,Master,666,
SnowMix♪,SnowMix♪,30.6,30+,1441,Master,327,
Stardust Medley,スターダストメドレー,30.6,30+,1366,Master,380,
Stardust Utopia,星屑ユートピア,30.6,30+,1308,Master,261,
Unknown Mother-Goose,アンノウン・マザーグース,30.6,30+,1292,Master,115,
Ura-Omote Lovers,裏表ラバーズ,30.6,30+,1151,Master,114,
Vocalo-Colosseum,ぼかろころしあむ,30.6,30+,870,Master,692,
Voices,Voices,30.6,30+,1237,Master,236,
DAYBREAK FRONTLINE,DAYBREAK FRONTLINE,30.6,APD 29,1352,Append,253,
Yoidore Shirazu,酔いどれ知らず,30.6,APD 29,1120,Append,441,
All in One,オールイン・ワン,30.5,30,1357,Master,760,
All-Save Challenge,オールセーブチャレンジ,30.5,30,918,Master,538,
Blood Doll,ブラッドドール,30.5,30,1058,Master,656,
Chu! Future☆Express!,,30.5,30,1287,Master,701,
Hated by Life,命に嫌われている,30.5,30,979,Master,22,
Hikari no Atsumekata,ひかりのあつめかた,30.5,30,1127,Master,757,
Kimi ga Tobioriru no Nara,君が飛び降りるのならば,30.5,30,1224,Master,641,
Last Score,ラストスコア,30.5,30,1190,Master,197,
O-Barcode,オーバーコード,30.5,30,1253,Master,446,
Pheles,フェレス,30.5,30,1397,Master,291,
Rainy Snowdrop,レイニースノードロップ,30.5,30,1495,Master,283,
Stella,ステラ,30.5,30,1190,Master,64,
Synthesize You,合成するミライ,30.5,30,1094,Master,512,
TOKIO FUNKA,トキヲ・ファンカ,30.5,APD 29,997,Append,150,
YY,YY,30.5,APD 29,1249,Append,266,
Attract Light,アトラクトライト,30.4,30,1455,Master,321,
Envy Cat Walk,エンヴィキャットウォーク,30.4,30,1222,Master,595,
"Help me, ERINNNNNN!!","Help me, ERINNNNNN!!",30.4,30,1318,Master,502,
Jet Black,ジェットブラック,30.4,30,1337,Master,687,
Lose The Princess,さよならプリンセス,30.4,30,1131,Master,413,
Lost Umbrella,ロストアンブレラ,30.4,30,926,Master,551,
Pentatonic,ペンタトニック,30.4,30,1103,Master,585,
RAD DOGS,RAD DOGS,30.4,30,1197,Master,101,
Raspberry＊Monster,ラズベリー＊モンスター,30.4,30,1410,Master,705,
Saitama 2000,さいたま2000,30.4,30,1021,Master,707,
Secret Seeker,シークレット・シーカー,30.4,30,1019,Master,569,
T-shi no Hanashi wo Shinjiru na,T氏の話を信じるな,30.4,30,1089,Master,727,
Tensai Rock,天才ロック,30.4,30,1327,Master,631,
Don't Fight The Music,Don't Fight The Music,30.4,30,1545,Expert,164,
THE END OF HATSUNE MIKU,初音ミクの消失,30.4,30,1502,Expert,49,
Cinema,シネマ,30.4,APD 29,992,Append,126,
Ifuudoudou,威風堂々,30.4,APD 29,1269,Append,95,
Antenna 39,アンテナ39,30.3,30,1039,Master,525,
Artifact,,30.3,30,1139,Master,694,
Calc.,Calc.,30.3,30,1295,Master,243,
Dance Robot Dance,ダンスロボットダンス,30.3,30,1057,Master,68,
DarlingDance,ダーリンダンス,30.3,30,912,Master,168,
Decade,Decade,30.3,30,1057,Master,319,
"E? Ah,sou.",え？あぁ、そう。,30.3,30,1028,Master,437,
Eien Hanahadashii,永遠甚だしい,30.3,30,1116,Master,706,
Fish and Tips,フィッシュアンドTips,30.3,30,1052,Master,626,
Fusion,フュージョン,30.3,30,1184,Master,555,
Hikaku Shoukougun,比較症候群,30.3,30,1125,Master,712,
Hitomania,人マニア,30.3,30,1049,Master,664,
Kareshi no Jude,カレシのジュード,30.3,30,1271,Master,652,
KLY,一千光年,30.3,30,1141,Master,439,
Konton Boogie,混沌ブギ,30.3,30,1189,Master,499,
Masquerade,Masquerade,30.3,30,1015,Master,746,
METEOR,METEOR,30.3,30,1323,Master,337,
mousou aspartame,妄想アスパルテーム,30.3,30,1134,Master,544,
Panda Hero,パンダヒーロー,30.3,30,1003,Master,566,
Ruma,ルマ,30.3,30,1143,Master,601,
Selfish princess,我儘姫,30.3,30,1188,Master,376,
SHOW OFF,てらてら,30.3,30,1262,Master,257,
Showtime×Audience,ショウタイム×オーディエンス,30.3,30,1220,Master,440,
SlowDowner,スロウダウナー,30.3,30,1418,Master,378,
Star of Heaven,みかぼし,30.3,30,1114,Master,518,
Starry Melancolia,星宙メランコリア,30.3,30,1166,Master,608,
The Bubble Future,泡沫未来,30.3,30,903,Master,151,
Happy Synthesizer,ハッピーシンセサイザ,30.3,APD 29,1205,Append,10,
hug,はぐ,30.3,APD 29,983,Append,429,
TETORIS,テトリス,30.3,APD 29,938,Append,627,
Achikochi Date-san,あちこちデートさん,30.2,30,829,Master,516,
Alkali Rettousei,アルカリレットウセイ,30.2,30,1211,Master,726,
Cute Na Kanojo,キュートなカノジョ,30.2,30,1208,Master,391,
CYBER PUNK DEAD BOY,サイバーパンクデッドボーイ,30.2,30,1014,Master,452,
Daidaidaidaidai Kirai,ダイダイダイダイダイキライ,30.2,30,875,Master,722,
Doukaai,導火愛,30.2,30,963,Master,737,
Explore,エクスプロウル,30.2,30,1102,Master,636,
Into The Night,夜に駆ける,30.2,30,1140,Master,139,
KING,KING,30.2,30,1251,Master,138,
M@GICAL☆CURE! LOVE ♥ SHOT!,M@GICAL☆CURE! LOVE ♥ SHOT!,30.2,30,1215,Master,552,
MATORYOSHKA,マトリョシカ,30.2,30,1104,Master,221,
Pamela,パメラ,30.2,30,1039,Master,653,
Piano × Forte × Scandal,ピアノ×フォルテ×スキャンダル,30.2,30,1142,Master,222,
Relayouter,リレイアウター,30.2,30,1203,Master,435,
Rin-chan Now!,リンちゃんなう！,30.2,30,1409,Master,303,
Samsa,ザムザ,30.2,30,937,Master,300,
SHIAWASE FOR YOU!,SHIAWASE FOR YOU!,30.2,30,961,Master,719,
"Still, we never stop singing",それでも僕らは歌うことをやめない,30.2,30,814,Master,524,
Teammates,チームメイト,30.2,30,1090,Master,374,
Tokyo Summer Session,東京サマーセッション,30.2,30,1073,Master,621,
Transparent Elegy,透明エレジー,30.2,30,1058,Master,520,
White Happy,ホワイトハッピー,30.2,30,1044,Master,651,
folern,folern,30.2,30,1392,Expert,447,
Kusare-gedou and Chocolate,腐れ外道とチョコレゐト,30.2,30,1396,Expert,250,
Beyond the way,Beyond the way,30.2,APD 29,1017,Append,398,
Coral,箱庭のコラル,30.2,APD 29,1220,Append,324,
Gimme more!,Gimme more!,30.2,30,1183,Append,756,
IF,イフ,30.2,APD 29,1270,Append,211,
Awake Now,Awake Now,30.1,30,884,Master,244,
"Can't Defeat ""Take No Notice Boys""",難聴系男子が倒せない,30.1,30,1234,Master,341,
Cat Loving,キャットラビング,30.1,30,1053,Master,491,
Dameningenda!,だめにんげんだ!,30.1,30,976,Master,482,
i DO what i WANT,,30.1,30,948,Master,657,
Imasugu Rinne,いますぐ輪廻,30.1,30,940,Master,733,
